symbol,datetime,open,high,low,close,volume
RELIANCE,2024-01-15 09:15:00,2450.5,2453.2,2448.1,2452.0,12500
RELIANCE,2024-01-15 09:16:00,2452.0,2455.0,2451.5,2454.1,8900
RELIANCE,2024-01-15 09:17:00,2454.0,2456.8,2453.0,2455.5,15200
RELIANCE,2024-01-15 09:18:00,2455.5,2457.0,2454.2,2454.8,6300
RELIANCE,2024-01-15 09:19:00,2454.8,2455.9,2452.1,2453.0,11100
RELIANCE,2024-01-15 09:20:00,2453.0,2454.5,2450.0,2450.8,9400
RELIANCE,2024-01-15 09:21:00,2450.8,2452.5,2449.5,2452.1,7200
RELIANCE,2024-01-15 09:22:00,2452.0,2458.0,2451.8,2457.2,21000
RELIANCE,2024-01-15 09:23:00,2457.2,2459.5,2456.0,2458.9,13400
RELIANCE,2024-01-15 09:24:00,2458.9,2462.2,2457.5,2460.5,18900
RELIANCE,2024-01-15 09:25:00,2460.5,2465.0,2460.0,2464.2,25000
RELIANCE,2024-01-15 09:26:00,2464.2,2468.9,2463.1,2468.0,31000
RELIANCE,2024-01-15 09:27:00,2468.0,2472.3,2467.5,2471.1,42000
RELIANCE,2024-01-15 09:28:00,2471.1,2472.0,2468.0,2468.5,15000
RELIANCE,2024-01-15 09:29:00,2468.5,2469.0,2465.0,2465.8,11500
RELIANCE,2024-01-15 09:30:00,2465.8,2468.0,2463.5,2467.2,14300
RELIANCE,2024-01-15 09:31:00,2467.2,2470.5,2466.8,2469.0,9800
RELIANCE,2024-01-15 09:32:00,2469.0,2473.0,2468.5,2472.5,18500
RELIANCE,2024-01-15 09:33:00,2472.5,2475.0,2471.2,2474.0,22100
RELIANCE,2024-01-15 09:34:00,2474.0,2478.5,2473.5,2477.9,28000
RELIANCE,2024-01-15 09:35:00,2477.9,2480.0,2476.0,2478.5,35000
RELIANCE,2024-01-15 09:36:00,2478.5,2479.5,2475.2,2476.0,14000
RELIANCE,2024-01-15 09:37:00,2476.0,2477.2,2473.0,2473.5,11000
RELIANCE,2024-01-15 09:38:00,2473.5,2475.0,2470.5,2471.8,9200
RELIANCE,2024-01-15 09:39:00,2471.8,2473.5,2469.0,2470.5,13500
RELIANCE,2024-01-15 09:40:00,2470.5,2472.0,2468.2,2469.8,10500
RELIANCE,2024-01-15 09:41:00,2469.8,2473.0,2469.5,2472.1,12000
RELIANCE,2024-01-15 09:42:00,2472.1,2476.0,2471.8,2475.0,19500
RELIANCE,2024-01-15 09:43:00,2475.0,2477.8,2474.0,2476.2,23000
RELIANCE,2024-01-15 09:44:00,2476.2,2477.0,2474.5,2475.6,15500
RELIANCE,2024-01-15 09:45:00,2475.6,2476.5,2473.8,2474.2,9500
TCS,2024-01-15 09:15:00,3500.0,3505.5,3498.2,3503.2,8500
TCS,2024-01-15 09:16:00,3503.2,3508.0,3502.1,3506.5,12300
TCS,2024-01-15 09:17:00,3506.5,3509.2,3505.0,3507.0,7600
TCS,2024-01-15 09:18:00,3507.0,3507.8,3502.5,3503.0,9100
TCS,2024-01-15 09:19:00,3503.0,3504.5,3499.0,3501.2,14200
TCS,2024-01-15 09:20:00,3501.2,3502.8,3498.0,3500.5,6200
TCS,2024-01-15 09:21:00,3500.5,3505.0,3500.0,3504.8,11800
TCS,2024-01-15 09:22:00,3504.8,3509.5,3504.2,3508.9,15000
TCS,2024-01-15 09:23:00,3508.9,3512.0,3507.5,3511.0,21000
TCS,2024-01-15 09:24:00,3511.0,3515.2,3510.8,3514.5,18500
TCS,2024-01-15 09:25:00,3514.5,3518.0,3513.0,3516.2,22000
TCS,2024-01-15 09:26:00,3516.2,3520.5,3515.5,3519.8,25500
TCS,2024-01-15 09:27:00,3519.8,3524.0,3518.0,3523.5,34000
TCS,2024-01-15 09:28:00,3523.5,3525.0,3521.0,3522.0,19800
TCS,2024-01-15 09:29:00,3522.0,3522.8,3517.5,3518.5,10200
TCS,2024-01-15 09:30:00,3518.5,3521.0,3516.2,3519.0,12100
TCS,2024-01-15 09:31:00,3519.0,3523.8,3518.5,3522.5,9400
TCS,2024-01-15 09:32:00,3522.5,3526.0,3521.8,3525.2,16500
TCS,2024-01-15 09:33:00,3525.2,3528.5,3524.0,3527.0,20400
TCS,2024-01-15 09:34:00,3527.0,3532.0,3526.5,3530.8,29000
TCS,2024-01-15 09:35:00,3530.8,3534.5,3530.0,3532.5,31000
TCS,2024-01-15 09:36:00,3532.5,3533.8,3529.0,3529.5,13800
TCS,2024-01-15 09:37:00,3529.5,3531.0,3526.2,3527.2,8900
TCS,2024-01-15 09:38:00,3527.2,3528.8,3524.0,3525.0,9500
TCS,2024-01-15 09:39:00,3525.0,3526.5,3522.1,3523.8,11200
TCS,2024-01-15 09:40:00,3523.8,3525.0,3521.0,3522.5,8400
TCS,2024-01-15 09:41:00,3522.5,3525.5,3522.0,3524.9,10300
TCS,2024-01-15 09:42:00,3524.9,3529.0,3524.5,3528.0,17200
TCS,2024-01-15 09:43:00,3528.0,3531.5,3527.5,3529.8,20500
TCS,2024-01-15 09:44:00,3529.8,3530.5,3528.0,3528.9,13100
TCS,2024-01-15 09:45:00,3528.9,3529.8,3527.0,3527.5,7500
